location,price,precio_estimado,diferencia_pct,sobrevaluado,subvaluado,m2,recamaras,banos,Lujo,Amueblado,colonia
"Mirador de Las Mitras 4 Sector 1 Etapa, Monterrey",30300,29851.171244386664,1.5035549256638832,False,False,85.0,2.0,2.0,1,1,Mirador de Las Mitras 4 Sector 1 Etapa
"Centro, Monterrey",28145,25415.362690113514,10.740107639495955,False,False,80.0,2.0,2.0,0,0,Centro
"Valle Primavera, Monterrey",10500,10771.68770058204,-2.5222389298137577,False,False,40.0,1.0,1.0,0,1,Valle Primavera
"Contry, Monterrey",49000,35871.26760478454,36.599577522218205,True,False,164.0,3.0,3.0,1,1,Contry
"Centro, Monterrey",40000,29173.726752697115,37.10966836385411,True,False,103.0,2.0,2.0,1,1,Centro
"Centro, Monterrey",30000,29564.489969098915,1.4730848776903787,False,False,112.0,2.0,2.0,1,1,Centro
"Mas Palomas (Valle de Santiago), Monterrey",15000,15097.819689768925,-0.647906067093997,False,False,16.0,1.0,1.0,1,0,Mas Palomas (Valle de Santiago)
"Colinas de Liverpool, Monterrey",22000,21041.76856299904,4.553949132802287,False,False,40.0,,,0,1,Colinas de Liverpool
"Centro, Monterrey",10400,10348.755069854671,0.49517965976992195,False,False,40.0,1.0,1.0,0,1,Centro
"Roma Sur, Monterrey",10500,10716.093304462634,-2.0165306359608133,False,False,22.0,1.0,1.0,0,1,Roma Sur
"Cumbres Oro Residencial, Monterrey",19000,20140.958291514544,-5.664865966160277,False,False,98.0,2.0,2.0,1,1,Cumbres Oro Residencial
"Colinas de San Jerónimo, Monterrey",29000,31607.385009869224,-8.24929050301087,False,False,91.0,2.0,2.0,1,0,Colinas de San Jerónimo
"Regina, Monterrey",8200,14900.201737799032,-44.96718806700362,False,True,,,,1,1,Regina
"Avila Camacho, Monterrey",18900,18908.366302618982,-0.04424656517164909,False,False,80.0,2.0,2.0,0,1,Avila Camacho
"Centro, Monterrey",11500,12573.588043111538,-8.538438188291888,False,False,,,,0,1,Centro
"La Florida, Monterrey",16000,16532.074639992934,-3.218438408847889,False,False,90.0,2.0,1.0,0,0,La Florida
"Centro, Monterrey",21000,21504.10032575661,-2.344205607861789,False,False,55.0,2.0,2.0,1,0,Centro
"Cumbres 3er Sector, Monterrey",16500,16514.0006414315,-0.084780434102525,False,False,100.0,2.0,1.0,0,1,Cumbres 3er Sector
"Centro, Monterrey",27000,26254.98530269157,2.837612319029003,False,False,85.0,2.0,2.0,1,0,Centro
"Centro, Monterrey",30000,26812.929559791246,11.886319371039914,False,False,67.0,2.0,2.0,1,0,Centro
"Haciendas de La Sierra, Monterrey",50000,48008.98015555502,4.147182127164185,False,False,80.0,2.0,2.0,1,0,Haciendas de La Sierra
"Centro, Monterrey",26000,24998.619569057773,4.00574290982728,False,False,60.0,2.0,2.0,1,0,Centro
"Tecnológico, Monterrey",18800,18537.532086336112,1.4158730107194322,False,False,80.0,2.0,1.0,1,1,Tecnológico
"Empleados SFEO, Monterrey",42500,41140.6705375191,3.3041013788076925,False,False,93.0,2.0,2.0,0,0,Empleados SFEO
"Urdiales, Monterrey",19500,19891.075757966533,-1.9660865139981398,False,False,72.0,,,1,0,Urdiales
"Loma Larga, Monterrey",24500,24760.090215438744,-1.0504413076676478,False,False,102.0,2.0,2.0,1,1,Loma Larga
"Jardín de las Torres, Monterrey",55000,32263.11620846179,70.47330346091897,True,False,190.0,,,0,0,Jardín de las Torres
"Obispado, Monterrey",38000,39137.365156541615,-2.906085149044608,False,False,119.0,2.0,2.0,1,1,Obispado
"Los Angeles, Monterrey",44000,43016.600800363085,2.2860923023667055,False,False,122.0,3.0,3.0,1,1,Los Angeles
"Ladrillera, Monterrey",45000,44256.004437050506,1.6811177882263402,False,False,184.0,2.0,2.0,1,0,Ladrillera
"Ladrillera, Monterrey",25000,25238.80457526322,-0.9461802144831974,False,False,110.0,1.0,1.0,1,0,Ladrillera
"Mitras Centro, Monterrey",23000,23116.11252938702,-0.5023012811492829,False,False,81.0,2.0,2.0,1,1,Mitras Centro
"San Jerónimo, Monterrey",29000,28712.467432946927,1.0014206118807314,False,False,100.0,2.0,2.0,1,1,San Jerónimo
"Morelos, Monterrey",7500,7878.275361707726,-4.801499621939205,False,False,30.0,1.0,1.0,0,1,Morelos
"Centro, Monterrey",16300,16845.486297335967,-3.238174830383097,False,False,70.0,1.0,1.0,1,0,Centro
"Contry Sur, Monterrey",29000,29535.847602310332,-1.814227949457653,False,False,113.0,3.0,2.0,1,1,Contry Sur
